#site     lx      ly     state1     state2   OParams_[site][state1][state2].real()       OParams_[site][state1][state2].imag()
0              0              0              0              0       0.502853              0
0              0              0              0              1       0.014084     0.00638905
0              0              0              0              2     0.00138955     -0.0105989
0              0              0              0              3       0.490772      0.0788995
0              0              0              0              4     -0.0143579    0.000619498
0              0              0              0              5     0.00317378      0.0113145
0              0              0              1              1       0.776757              0
0              0              0              1              2    -0.00066544      -0.245944
0              0              0              1              3      -0.014414    0.000958592
0              0              0              1              4       0.220336      0.0340803
0              0              0              1              5     -0.0375885        0.24314
0              0              0              2              2       0.720376              0
0              0              0              2              3    -0.00349039     -0.0113597
0              0              0              2              4      0.0373713      -0.243176
0              0              0              2              5       0.275994      0.0439445
0              0              0              3              3       0.502853              0
0              0              0              3              4      0.0140813    -0.00604554
0              0              0              3              5    -0.00106983     -0.0106007
0              0              0              4              4       0.776761              0
0              0              0              4              5    0.000885187      -0.245951
0              0              0              5              5       0.720379              0
1              1              0              0              0        0.80049              0
1              1              0              0              1      0.0596632     0.00624812
1              1              0              0              2    -0.00198668       0.232693
1              1              0              0              3      0.0447414       0.193945
1              1              0              0              4     -0.0109724     -0.0588026
1              1              0              0              5       0.226551     -0.0534341
1              1              0              1              1       0.516177              0
1              1              0              1              2   -6.13771e-05      0.0426089
1              1              0              1              3     -0.0104333     -0.0589336
1              1              0              1              4       0.117725       0.469164
1              1              0              1              5       0.042584     -0.0058017
1              1              0              2              2       0.683348              0
1              1              0              2              3      -0.226536      0.0534715
1              1              0              2              4     -0.0424809     0.00622682
1              1              0              2              5      0.0756717       0.307289
1              1              0              3              3       0.800485              0
1              1              0              3              4      0.0596614    -0.00680271
1              1              0              3              5     0.00194697       0.232684
1              1              0              4              4       0.516177              0
1              1              0              4              5   -0.000375842      0.0426072
1              1              0              5              5       0.683343              0
2              2              0              0              0       0.505882              0
2              2              0              0              1      0.0196797     0.00654683
2              2              0              0              2     0.00058084     -0.0111134
2              2              0              0              3       0.461612       0.176008
2              2              0              0              4     -0.0198314    -0.00320611
2              2              0              0              5   -0.000178284      0.0119252
2              2              0              1              1       0.805521              0
2              2              0              1              2    -0.00158475      -0.237523
2              2              0              1              3     -0.0198698    -0.00311176
2              2              0              1              4       0.182113      0.0670131
2              2              0              1              5     -0.0816764       0.223136
2              2              0              2              2       0.688597              0
2              2              0              2              3    8.70552e-05     -0.0119558
2              2              0              2              4      0.0814796       -0.22321
2              2              0              2              5       0.291119       0.110056
2              2              0              3              3       0.505882              0
2              2              0              3              4      0.0196761     -0.0064451
2              2              0              3              5   -0.000484688     -0.0111147
2              2              0              4              4       0.805521              0
2              2              0              4              5     0.00179447      -0.237524
2              2              0              5              5       0.688599              0
3              3              0              0              0       0.794382              0
3              3              0              0              1      0.0609749     0.00647275
3              3              0              0              2    -0.00173191       0.233484
3              3              0              0              3      0.0413947       0.200984
3              3              0              0              4    -0.00973496     -0.0603487
3              3              0              0              5       0.228511     -0.0482819
3              3              0              1              1       0.517338              0
3              3              0              1              2    0.000266679      0.0446345
3              3              0              1              3    -0.00967481     -0.0603619
3              3              0              1              4       0.106124       0.470751
3              3              0              1              5      0.0446583     -0.0052895
3              3              0              2              2        0.68828              0
3              3              0              2              3      -0.228521      0.0482297
3              3              0              2              4     -0.0446469      0.0053241
3              3              0              2              5      0.0670026       0.304253
3              3              0              3              3       0.794382              0
3              3              0              3              4      0.0609767    -0.00653432
3              3              0              3              5      0.0017851       0.233482
3              3              0              4              4       0.517338              0
3              3              0              4              5   -0.000302861      0.0446352
3              3              0              5              5       0.688279              0
4              4              0              0              0       0.505739              0
4              4              0              0              1      0.0191524     0.00647194
4              4              0              0              2    0.000519252     -0.0107164
4              4              0              0              3        0.46214       0.175013
4              4              0              0              4     -0.0193816    -0.00288047
4              4              0              0              5    4.22839e-05       0.011575
4              4              0              1              1       0.805624              0
4              4              0              1              2    -0.00166425      -0.237564
4              4              0              1              3     -0.0193618    -0.00293523
4              4              0              1              4       0.182139      0.0666222
4              4              0              1              5     -0.0811427       0.223376
4              4              0              2              2       0.688638              0
4              4              0              2              3   -3.33043e-06     -0.0115595
4              4              0              2              4      0.0810953      -0.223393
4              4              0              2              5       0.291305        0.10944
4              4              0              3              3       0.505739              0
4              4              0              3              4      0.0191514    -0.00653017
4              4              0              3              5   -0.000561155     -0.0107164
4              4              0              4              4       0.805623              0
4              4              0              4              5     0.00171446      -0.237562
4              4              0              5              5       0.688637              0
5              5              0              0              0       0.794585              0
5              5              0              0              1      0.0615202     0.00647453
5              5              0              0              2    -0.00181564       0.233298
5              5              0              0              3      0.0417536       0.200704
5              5              0              0              4    -0.00999746     -0.0608584
5              5              0              0              5        0.22824     -0.0486623
5              5              0              1              1       0.517578              0
5              5              0              1              2    0.000239957      0.0450002
5              5              0              1              3    -0.00994226      -0.060871
5              5              0              1              4       0.107127       0.470278
5              5              0              1              5      0.0450043    -0.00545263
5              5              0              2              2       0.687837              0
5              5              0              2              3      -0.228221      0.0487445
5              5              0              2              4     -0.0449898     0.00551137
5              5              0              2              5      0.0677515       0.304542
5              5              0              3              3       0.794585              0
5              5              0              3              4      0.0615228    -0.00653118
5              5              0              3              5      0.0017314       0.233297
5              5              0              4              4       0.517578              0
5              5              0              4              5   -0.000300372      0.0450001
5              5              0              5              5       0.687836              0
6              6              0              0              0        0.50545              0
6              6              0              0              1      0.0168496     0.00655133
6              6              0              0              2    0.000598976    -0.00889385
6              6              0              0              3       0.461269       0.178099
6              6              0              0              4     -0.0171882    -0.00223206
6              6              0              0              5    0.000534596     0.00984428
6              6              0              1              1       0.805973              0
6              6              0              1              2    -0.00156477      -0.237627
6              6              0              1              3      -0.017226    -0.00214096
6              6              0              1              4       0.181343      0.0677614
6              6              0              1              5     -0.0827046       0.222871
6              6              0              2              2       0.688576              0
