#site_i   site_i(x)    site_i(y)    site_j   site_j(x)    site_j(y)     SS[site_i][site_j]     LL[site_i][site_j]     JeffJeff[site_i][site_j]     MM[site_i][site_j]
0              0              0              0              0              0         2.0022         1.9882        2.03507        13.9077
0              0              0              1              1              0       0.386004      -0.222001     -0.0145411        1.67911
0              0              0              2              2              0       0.980765       0.936883       0.078936        8.53737
0              0              0              3              3              0       0.373843      -0.206911     0.00897409        1.60437
0              0              0              4              4              0       0.980781       0.936244      0.0792173        8.53498
0              0              0              5              5              0       0.376375      -0.204453     0.00874894        1.62739
0              0              0              6              6              0       0.981533       0.936229      0.0792033        8.53948
0              0              0              7              7              0       0.380571       -0.20015     0.00838508         1.6662
0              0              0              8              8              0        0.98254       0.936137      0.0792041        8.54524
0              0              0              9              9              0       0.386729      -0.194551     0.00789689        1.72093
0              0              0             10             10              0       0.983732       0.936089      0.0790795         8.5525
0              0              0             11             11              0        0.39155      -0.189967     0.00749508        1.76441
0              0              0             12             12              0       0.984271       0.935885      0.0791977        8.55489
0              0              0             13             13              0       0.392799      -0.187756     0.00723228        1.77906
0              0              0             14             14              0       0.981824       0.931591      0.0816695        8.52238
0              0              0             15             15              0       0.213428      -0.182203     0.00541242       0.723134
1              1              0              0              0              0       0.386004      -0.222001     -0.0145411        1.67911
1              1              0              1              1              0        2.00506        1.97496        2.22971        13.4958
1              1              0              2              2              0       0.552218        -0.2283     -0.0173489        2.66311
1              1              0              3              3              0        0.99832       0.900223        0.16069        8.36921
1              1              0              4              4              0       0.554936      -0.209015      0.0111272        2.68032
1              1              0              5              5              0       0.998389       0.900287       0.160777        8.36964
1              1              0              6              6              0       0.551589      -0.212421      0.0117532        2.64876
1              1              0              7              7              0       0.998436       0.900274        0.16071        8.37002
1              1              0              8              8              0       0.546977      -0.217189       0.012633        2.60503
1              1              0              9              9              0       0.998469       0.900141       0.160922        8.36939
1              1              0             10             10              0       0.541307      -0.222475      0.0136325        2.55315
1              1              0             11             11              0       0.998464       0.900059       0.161004        8.36895
1              1              0             12             12              0       0.538663      -0.225714      0.0142155        2.52641
1              1              0             13             13              0       0.998464        0.90058       0.160559        8.37141
1              1              0             14             14              0       0.549778      -0.224768        0.01464        2.59508
1              1              0             15             15              0       0.981851       0.931518      0.0818536        8.52195
2              2              0              0              0              0       0.980765       0.936883       0.078936        8.53737
2              2              0              1              1              0       0.552218        -0.2283     -0.0173489        2.66311
2              2              0              2              2              0        2.00569        1.97308        2.20921         13.535
2              2              0              3              3              0       0.539378      -0.230149     -0.0168731        2.57957
2              2              0              4              4              0       0.998546        0.90493       0.155655        8.39475
